###
# timestamp: 2456557.73263
# Gaussian 1 [amp, RV +/- err, wid]: [0.93, 100.89 +/- 0.06, 11.00]
# Gaussian 2 [amp, RV +/- err, wid]: [0.79, 65.99 +/- 0.07, 11.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
400.0 0.0 8.02997637284e-141
398.0 0.0 7.99606062527e-139
396.0 0.00540420852693 7.70337512146e-137
394.0 0.00666486952396 7.1800781742e-135
392.0 0.0105506787945 6.47471201416e-133
390.0 0.00804178316885 5.64878308078e-131
388.0 0.00812731028146 4.76795882865e-129
386.0 0.00494896828153 3.89361721281e-127
384.0 0.00384608438241 3.07621841288e-125
382.0 0.00134991369546 2.35138768389e-123
380.0 0.000663595381372 1.73889944366e-121
378.0 0.000112334962927 1.24413599619e-119
376.0 0.00129601211118 8.61200751707e-118
374.0 -0.000374741396378 5.76745351059e-116
372.0 -0.000914475997171 3.73686116107e-114
370.0 -0.00186554216025 2.34246429538e-112
368.0 -4.32363942478e-05 1.42063383867e-110
366.0 0.000541207468575 8.335554356e-109
364.0 0.00125114694449 4.73183920551e-107
362.0 -0.000333748431637 2.59877467723e-105
360.0 -0.000244700377939 1.38086248816e-103
358.0 -0.000975070440498 7.09864397615e-102
356.0 -0.000295070679603 3.53055934641e-100
354.0 0.000197363385709 1.69884906154e-98
352.0 0.00271250258056 7.90877519041e-97
350.0 0.0022683069624 3.56210588185e-95
348.0 0.00215091789019 1.55219963113e-93
346.0 0.00113683929497 6.54382211178e-92
344.0 0.00108971000549 2.6690613199e-90
342.0 0.00174085309096 1.05324347134e-88
340.0 0.00235418656829 4.02107485309e-87
338.0 0.00130493493528 1.48524704555e-85
336.0 0.000760293504497 5.30760255247e-84
334.0 0.00348714366722 1.83502188871e-82
332.0 0.00322404984676 6.13800533233e-81
330.0 0.00345045197961 1.98635300341e-79
328.0 -0.00089261722913 6.21911745441e-78
326.0 -0.00269046999624 1.88384099807e-76
324.0 -0.00580363640076 5.52081109368e-75
322.0 -0.00274585735302 1.56532559866e-73
320.0 -0.00375802924965 4.2938774543e-72
318.0 -0.00202351963484 1.13956148213e-70
316.0 -0.00150413685434 2.92596437951e-69
314.0 0.000299369813723 7.26847775661e-68
312.0 0.00219560306754 1.74687188172e-66
310.0 0.00311980459014 4.06183053914e-65
308.0 0.00228997623518 9.13746453569e-64
306.0 0.000867724524555 1.98871599099e-62
304.0 -0.000425286294737 4.18757872729e-61
302.0 -0.000746614183366 8.53092967117e-60
300.0 0.000684612532424 1.68140717368e-58
